,0
178,11162.794927297573
179,4818.276090171637
180,12058.713095713536
181,9537.975633967026
182,11450.92738902475
183,7484.081366888302
184,2505.0708291476312
185,12863.107587292261
186,13077.986043219766
187,3221.573795661519
188,13297.228124779385
189,6587.184978856773
190,12796.66954487327
191,12198.367639704351
192,9926.015175402952
193,3861.9221639335387
194,10114.496590589162
195,12963.105879542121
196,9318.76515735809
197,12171.024728014603
198,3814.350933460651
199,8162.983586008658
200,8183.407446601391
201,13286.089454258403
202,11045.053142620009
203,5272.238954498422
204,11751.633033376194
205,9394.617431685236
206,10188.001746559856
207,11543.407244849921
208,11946.787121499929
209,5717.219696589977
210,6732.759894371704
211,9787.683748112695
212,8521.927048828293
213,6317.624292095302
214,9527.205494262267
215,4584.908023459945
216,10727.125030325245
217,12481.948004987758
218,9522.265989722167
219,10997.421239551633
220,9996.905942549663
221,9536.618597049417
222,11732.179198447295
223,5659.258993345452
224,8157.35417035616
225,11046.223772190826
226,9802.84041823925
227,4968.95697397235
228,11309.633924718566
229,896.1808698534323
230,4217.53057332502
231,12554.174959305867
232,13019.134154552541
233,11918.783021818348
234,3900.979099197713
235,8917.204852423165
236,11764.178547987982
237,5021.862858878272
238,13032.6680139122
239,1082.5111756616557
240,10069.036868097754
241,8812.659048345437
242,9043.99792744932
243,1393.2446608260182
244,12457.051305993671
245,9511.17916819452
246,8067.749432566882
247,825.2958471689707
248,9328.822190692295
249,11326.823116241256
250,12060.360272255897
251,11931.815010749817
252,11411.674400822963
253,5444.281402315201
254,11170.341864462616
255,8038.321864375921
256,8650.071359400807
257,5725.5207363051095
258,7961.816730504072
259,1493.6113405236229
260,8706.225098686698
261,8271.400551563846
262,12353.92313265003
263,11934.764530972807
264,8620.801999817184
265,7256.504098306145
266,8350.517180526904
267,10793.654728880307
268,10481.21096782389
269,13068.90054294636
270,13204.314955280717
271,11573.792631731174
272,5600.68077082833
273,10615.323325595835
274,7232.966981288846
275,6433.183782043809
276,8637.907272969467
277,12456.249561509816
278,11352.442353401731
279,10302.988195064574
280,13082.031048655928
281,10110.609775687244
282,9003.10328735575
283,12926.254827380542
284,10464.150437397228
285,10211.558761552214
286,7085.982731294411
287,9576.352636796066
288,10627.70119120539
289,11797.083257494938
290,6612.21310225045
291,13093.150199543417
292,6260.187257462748
293,9974.275332378844
294,13024.610623730889
295,2292.7789286370785
296,11827.893950297783
297,12226.369450593957
298,10168.762188102943
299,3779.602901757843
300,7841.686674804713
301,10770.511502823842
302,8762.717118769748
303,8029.412587791509
304,7805.418636300054
305,13290.110048158424
306,9851.813661320011
307,13253.083961743816
308,1686.5346431942828
309,3840.982644896272
310,12864.161597340855
311,12796.128402345379
312,4052.212133273881
313,558.2653510398826
314,12800.886436434355
315,3483.598279201265
316,7225.61160095732
317,13250.23296446111
318,10942.594290557037
319,10763.175953494007
320,8261.947193348646
321,3730.234399663018
322,7407.505282115828
323,7994.387142378096
324,11979.33721498879
325,5124.305090857084
326,12097.665850399624
327,9761.811320498226
328,6850.774192239246
329,7593.04041916027
330,9225.893602943026
331,5723.239532698426
332,10753.717211107552
333,9510.128170102998
334,4497.74923907142
335,7153.179199035061
336,6892.157784389782
337,2591.5451271595043
338,9478.638805685541
339,9999.194516488218
340,9876.428804406085
341,12704.430969494602
342,5409.807806872372
343,2235.4927485165877
344,9625.93558998254
345,12422.0872246907
346,12979.61426117558
347,6872.606818499713
348,2961.9960028034284
349,12273.989205623682
350,7182.81213664448
351,2646.755858549998
352,11453.990459641842
353,8148.1678786269995
354,11049.45142829811
355,11283.224085407981
356,12866.492030832756
357,9698.658926065546
358,8634.625181181236
359,8110.831782173071
360,11767.696522924874
361,11117.809423146182
362,1748.1800616199116
363,8629.993708987962
364,13187.726754469646
365,11304.888770319305
366,7405.881727767583
367,12474.179536019841
368,3470.3822727338743
369,5376.957723685097
370,4552.918204660132
371,9565.24196861828
372,2293.3888711268387
373,3394.879938956094
374,4944.932602369179
375,9018.310555208735
376,12941.986984733663
377,8688.371480863128
378,10829.800916878237
379,8247.989253017045
380,9051.616617489584
381,11439.185330956081
382,6073.725691575018
383,11775.18142913253
384,13231.468604531901
385,13248.76344159549
386,11507.379173641744
387,11323.073416286437
388,11517.322822393357
389,4921.920569931237
390,13005.880140911186
391,6018.129027804217
392,8846.864686614399
393,10549.675716052838
394,12191.505007558253
395,11870.608926028775
396,3883.6082177338
397,10098.219761716638
398,1196.3754496049876
399,8852.144113205577
400,9094.449966046166
401,9670.734409423874
402,12313.145402875685
403,10385.986619412497
404,8217.790829934138
405,6450.786342826837
406,2102.692519754408
407,12038.393810199574
408,11800.630907827777
409,3976.9886323682026
410,10145.085791838725
411,2415.210026982595
412,8576.254023121712
413,9052.946031116053
414,7175.442680041104
415,8180.377001911412
416,13173.199659845286
417,10487.749485441063
418,11396.443593263253
419,2500.2869086205583
420,5109.661380988295
421,12476.621770713238
422,7464.654915964545
423,5851.685917031663
424,13233.32046907356
425,6377.977103709361
426,11635.145353955584
427,9056.989540569448
428,11263.126462856259
429,10349.69476058174
430,10131.877097869645
431,10996.75915853854
432,10018.317916264446
433,6111.775096836244
434,11435.521319367032
435,2259.0768194701254
436,11154.02077999928
437,604.0358394611958
438,9248.954086349766
439,9682.886290364258
440,11580.93651446261
441,3544.7802658349483
442,4387.071354185475
443,13160.257275107184
444,11831.630961744759
445,12573.150320631832
446,11622.213282036131
447,1323.5490012343032
448,12464.018842452604
449,6797.283294298993
450,8934.875483748678
451,13250.353207871609
452,8832.510385982385
453,8891.42501440582
454,9792.46636880129
455,10082.528986279247
456,7760.4323668572815
457,13273.530031849037
458,5945.904044556887
459,10508.582146115888
460,12223.885065844288
461,7559.764749274459
462,12815.614455063142
463,13226.003106382163
464,6520.466953110047
465,10594.35590078293
466,9846.500617952604
467,1942.855140395183
468,11153.155479915256
469,5457.201279795971
470,10438.966612219348
471,5204.0701595575665
472,11747.309923528574
473,10286.374355716604
474,11772.90513450937
475,12920.71023332722
476,8446.195230455138
477,6992.648679075033
478,5495.8964660191095
479,10144.399439158558
480,13189.955066378405
481,13285.392246052832
482,11251.212392480393
483,8273.522208239023
484,10449.075367563826
485,7880.629332039964
486,12542.424952890336
487,2495.223626303417
488,7789.550114404201
489,2534.777834563529
490,2131.0892322269588
491,4931.2033263480735
492,10905.108384348516
493,8237.423551885418
494,9425.674361135985
495,12207.361544545818
496,12604.387331748847
497,8562.82795668272
498,5629.6396631418565
499,8937.720570469744
500,5302.935330155072
501,11434.277807347517
502,9811.203380671624
503,12545.306904371198
504,4212.9852194585865
505,5219.551241558002
506,10117.628714907156
507,11674.377559362052
508,8805.689914102557
509,10689.311961717618
510,7139.3018198337795
511,12983.89890239814
512,7871.712201339168
513,10276.136099493528
514,7025.3659633298375
515,12822.09992997615
516,12133.22431350389
517,12951.621397466202
518,5414.275781827264
519,5854.744137928557
520,10517.293006728798
521,11886.731307191336
522,8830.033510984214
